Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
148;pGSBwcEF;01/12/2023;17:30;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Spain W;Italy W;24;30;19;30;0,8;0,6333;1,4333;1,9333;1,5041;1,1667;1,2671;3,1
149;8vRspr8L;01/12/2023;15:30;GERMANY;REGIONALLIGA WEST - ROUND 18;Koln II;Fortuna Koln;22;30;21;30;0,7333;0,7;1,4333;1,5;1,2583;1,3667;1,2243;2,8667
150;6uEAxyHS;01/12/2023;05:00;INDONESIA;LIGA 1 - ROUND 21;RANS Nusantara;Persebaya;21;30;22;30;0,7;0,7333;1,4333;1,1333;1,0242;1,2333;0,9551;2,3666
151;Cb2iqwBB;01/12/2023;05:30;INDIA;I-LEAGUE - ROUND 8;Delhi FC;Churchill Brothers;19;25;20;30;0,76;0,6667;1,4267;1,28;1,1143;1,1333;1,1175;2,4133
152;ldFEkDU7;01/12/2023;13:00;ANGOLA;GIRABOLA - ROUND 6;Kabuscorp;Bravos do Maquis;19;27;21;30;0,7037;0,7;1,4037;1,037;0,8811;0,8667;0,718;1,9037
153;OAsHHFid;01/12/2023;16:15;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Wales W;Iceland W;21;30;21;30;0,7;0,7;1,4;1,1;0,9074;1,1667;1,0028;2,2667
154;GCCarEh0;01/12/2023;12:30;BULGARIA;PARVA LIGA - ROUND 19;Slavia Sofia;CSKA Sofia;20;30;22;30;0,6667;0,7333;1,4;1,0667;0,9978;1,1667;0,969;2,2334
155;8MZxw7De;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 4 - ROUND 15;Paulesti;Tricolorul Breaza;22;30;20;30;0,7333;0,6667;1,4;1,2667;1,0306;1,0667;0,9978;2,3334
156;2JL3hXfh;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 3 - ROUND 15;Calarasi;Inainte Modelu;20;30;22;30;0,6667;0,7333;1,4;1,3333;1,1926;1,5667;1,3337;2,9
157;z5DeGvgB;01/12/2023;16:45;ENGLAND;FA CUP - 1/64-FINALS;Notts Co;Shrewsbury;25;30;17;30;0,8333;0,5667;1,4;1,7;1,2423;1,0;1,0328;2,7
158;bmhw6Ihp;01/12/2023;16:30;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Germany W;Denmark W;21;30;21;30;0,7;0,7;1,4;1,1667;1,0028;1,0333;0,875;2,2
159;A16yPdyA;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;JSM Tiaret;Mostaganem;20;30;22;30;0,6667;0,7333;1,4;0,9;0,8307;1,2;0,9092;2,1
160;b7SR39Or;01/12/2023;11:00;IRAQ;SUPER LEAGUE - ROUND 6;Naft Missan;Al Minaa;23;30;19;30;0,7667;0,6333;1,4;1,1667;0,8596;0,9;0,9074;2,0667
161;ULwmpuSi;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 1 - ROUND 15;FC Bacau;Bucovina Radauti;10;15;22;30;0,6667;0,7333;1,4;1,0667;1,1235;1,3333;1,075;2,4
162;0xx7Kr0O;01/12/2023;09:00;BULGARIA;VTORA LIGA - ROUND 19;Dobrudzha;Litex Lovech;25;30;17;30;0,8333;0,5667;1,4;1,2667;1,2632;0,9;1,106;2,1667
163;CIbQlxdr;01/12/2023;12:30;PORTUGAL;LIGA PORTUGAL 2 - ROUND 12;Vilaverdense;Leiria;21;30;21;30;0,7;0,7;1,4;1,0333;0,9123;1,6333;1,6017;2,6666
164;YHl8qHb5;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 9;West Brom U21;Arsenal U21;21;30;21;30;0,7;0,7;1,4;1,6;1,4048;1,6333;1,6017;3,2333
165;rTZPWwFa;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 9;West Ham U21;Nottingham U21;24;30;18;30;0,8;0,6;1,4;1,5667;1,1455;1,5;1,5;3,0667
166;roikKokS;01/12/2023;16:30;SPAIN;LALIGA2 - ROUND 18;R. Oviedo;Espanyol;18;30;24;30;0,6;0,8;1,4;0,8333;0,8199;1,4333;0,9551;2,2666
167;4CRKj6Bh;01/12/2023;13:00;AFRICA;CAF CHAMPIONS LEAGUE - ROUND 2;Medeama (Gha);CR Belouizdad (Alg);19;30;23;30;0,6333;0,7667;1,4;1,0333;1,0796;1,3333;1,0435;2,3666
